M,C,N,NI,Class,h,GC,Other,Discoverer,Y,M,D,Ap,T,Observer1,Observer2,RH,RM,RS,V,DG,DM,DS,Con,Dist (kly),Vmag,Type,S,Remarks
1,1,N,1952,,357,1157,,Bevis,1731,,,3.0,Rr,Messier 21.8.1758,,5,34,31.9,+,22,0,52,TAU,6.5,8.4,SNR,2,Crab Nebula
2,1,N,7089,,2125,4678,,Maraldi,1746,9,11,4.0,Rr,Messier 11.9.1760,Bode 22.9.1775,21,33,27.2,-,0,49,22,AQR,33,6.6,II,5,LL 41928
3,1,N,5272,,1663,3636,,Messier,1764,5,3,3.5,Rr,,,13,42,11.2,+,28,22,34,CVN,33.9,6.3,VI,5,
4,1,N,6121,,,4183,Lac I.9,de Chéseaux,1745,,,,Rr,Lacaille 1751,,16,23,35.5,-,26,31,29,SCO,7.2,5.4,IX,5,BAC 5455
5,1,N,5904,,1916,4083,,Kirch,1702,5,5,,Rr,Messier 23.5.1764,,15,18,33.8,+,2,5,0,SER,24.5,5.7,V,5,
6,1,N,6405,,3699,4318,Lac III.12,Hodierna,1654,,,,Rr,de Chéseaux 1745?,Lacaille 16.6.1752,17,40,20.0,-,32,15,30,SCO,1.6,4.2,III2p,4,Butterfly Cluster
7,1,N,6475,,3710,4340,Lac II.14,Ptolemäus,130,*,,,E,Halley 1678,Lacaille 15.6.1752,17,53,50.0,-,34,47,36,SCO,0.98,3.3,II2r,4,Ptolemy's Cluster
8,1,N,6523,V 13,3722,4361=4368,Lac III.13,Hodierna,1654,,,,Rr,Flamsteed 8.6.1691,de Chéseaux 1764,18,3,42.0,-,24,22,48,SGR,4.1,5.8,EN,2,"Lagoon Nebula, NGC 6533, Herschel W. 12.7.1784"
9,1,N,6333,,1979=3677,4287,,Messier,1764,5,28,3.5,Rr,,,17,19,11.8,-,18,30,57,OPH,25.8,7.8,VIII,5,
10,1,N,6254,,1972=3659,4256,,Messier,1764,5,29,3.5,Rr,Bode 14.8.1774,,16,57,8.9,-,4,5,56,OPH,14.3,6.6,VII,5,
11,1,N,6705,,2019,4437,,Kirch,1681,,,,Rr,Herschel W. 12.9.1779,,18,51,5.0,-,6,16,12,SCT,6.2,5.8,I2r,4,Wild Duck Cluster
12,1,N,6218,,1971,4238,,Messier,1764,5,30,3.5,Rr,Bode 14.8.1774,,16,47,14.5,-,1,56,50,OPH,15.7,6.1,IX,5,
13,1,N,6205,,1968,4230,,Halley,1714,,,,Rr,,,16,41,41.5,+,36,27,39,HER,22.2,5.8,V,5,
14,1,N,6402,,1983= 3698,4315,,Messier,1764,6,1,3.5,Rr,,,17,37,36.1,-,3,14,43,OPH,30.3,7.6,VIII,5,
15,1,N,7078,,2120,4670,,Maraldi,1746,9,7,4.0,Rr,Messier 3.6.1764?,Bode 23.9.1774,21,29,58.3,+,12,10,3,PEG,33,6.3,IV,5,LL 40815
16,1,N,6611,,2006,4400,,de Chéseaux,1745,,,,Rr,Messier 3.6.1764,,18,18,45.0,-,13,47,54,SER,7,6.0,II3mn,4,
17,1,N,6618,,2008,4403,,de Chéseaux,1745,,,,Rr,Messier 3.6.1764,,18,20,47.0,-,16,10,18,SGR,5.5,6.0,EN+OCL,2,Omega Nebula
18,1,N,6613,,2007,4401,,Messier,1764,6,3,3.5,Rr,,,18,19,58.0,-,17,6,6,SGR,4.9,6.9,II3pn,4,
19,1,N,6273,,1975=3663,4264,,Messier,1764,6,5,3.5,Rr,,,17,2,37.7,-,26,16,3,OPH,28.7,6.8,VIII,5,
20,1,N,6514,"V 10, V 11, V 12, IV 41",1991=3718,4355,,Messier,1764,6,5,3.5,Rr,Herschel W. 12.7.1784,,18,2,42.0,-,22,58,18,SGR,5.2,8.5,EN+OCL,2,Trifid Nebula
21,1,N,6531,,1993,4367,,Messier,1764,6,5,3.5,Rr,,,18,4,13.3,-,22,30,0,SGR,4.25,5.9,I3m,4,
22,1,N,6656,,2015=3753,4424,Lac I.12,Ihle,1665,8,26,,Rr,Halley 1715,Lacaille 6.4.1752,18,36,24.2,-,23,54,10,SGR,10.6,5.2,VII,5,
23,1,N,6494,,1990,4346,,Messier,1764,6,20,3.5,Rr,,,17,56,56.0,-,19,0,42,SGR,2.15,5.5,III1m,4,
24,1,I,4715,,,,,Messier,1764,6,20,3.5,Rr,Barnard Aug. 1905?,,18,18,48.0,-,18,33,0,SGR,10,4.6,*Cloud,9,Sagittarius Star Cloud
25,1,I,4725,,,,,de Chéseaux,1745,,,,Rr,Messier 20.6.1764,Bailey 1896,18,31,45.0,-,19,7,12,SGR,2,4.6,I2p,4,
26,1,N,6694,,3758,4432,,Messier,1764,6,20,3.5,Rr,,,18,45,15.0,-,9,23,6,SCT,5,8.0,I1m,4,
27,1,N,6853,,2060,4532,,Messier,1764,7,12,3.5,Rr,,,19,59,36.3,+,22,43,18,VUL,1.334,7.4,PN,3,Dumbbell Nebula
28,1,N,6626,,2010=3743,4406,,Messier,1764,7,27,3.5,Rr,,,18,24,32.9,-,24,52,10,SGR,17.9,6.9,IV,5,
29,1,N,6913,,2078,4576,,Messier,1764,7,29,3.5,Rr,Bode 5.12.1774,Herschel C. 6.4.1783,20,24,6.0,+,38,29,36,CYG,7.2,6.6,III3p,4,
30,1,N,7099,,2128=3878,4687,,Messier,1764,8,3,3.5,Rr,,,21,40,22.0,-,23,10,43,CAP,29.4,6.9,V,5,
31,1,N,224,,50,116,,As-Sufi,964,*,,,E,Marius 15.12.1612,,0,42,44.3,+,41,16,8,AND,2540,3.4,Sb,1,Andromeda Nebula
32,1,N,221,,51,117,,Legentil,1749,10,29,,Rr,,,0,42,41.8,+,40,51,57,AND,2490,8.1,E2,1,
33,1,N,598,V 17,131,352,,Hodierna,1654,,,,Rr,Messier 25.8.1764,Bode 18.8.1775,1,33,51.9,+,30,39,29,TRI,2725,5.7,Sc,1,Triangulum Nebula
34,1,N,1039,,248,584,,Hodierna,1654,,,,Rr,Messier 25.8.1764,Bode 2.9.1774,2,42,5.0,+,42,45,42,PER,1.5,5.2,II3m,4,
35,1,N,2168,,377,1360,,de Chéseaux,1745,,,,Rr,Bevis < 1750,Messier 30.8.1764,6,9,4.0,+,24,21,0,GEM,2.8,5.1,III2m,4,
36,1,N,1960,,358,1166,,Hodierna,1654,,,,Rr,Legentil 1749,,5,36,17.7,+,34,8,27,AUR,4.1,6.0,II3m,4,
37,1,N,2099,,369,1295,,Hodierna,1654,,,,Rr,Messier 2.9.1764,Bode 2.11.1774,5,52,18.3,+,32,33,11,AUR,4.511,5.6,II1r,4,
38,1,N,1912,,,1119,,Hodierna,1654,,,,Rr,Legentil 1749,,5,28,43.0,+,35,51,18,AUR,4.2,6.4,III2m,4,
39,1,N,7092,,2126,4681,,Messier,1764,10,24,3.5,Rr,Bode 27.10.1774,,21,31,52.0,+,48,25,30,CYG,0.8244,4.6,III2p,4,
40,1,,,,,,,Messier,1764,10,24,3.5,Rr,Winnecke 12.10.1863,,12,22,16.2,+,58,5,8,UMA,0.51,9.0,*2,9,"Winnecke 4, not seen by Hevelius"
41,1,N,2287,,411,1454,,Aristoteles,-325,,,,E,Hodierna 1654?,Flamsteed 16.2.1702,6,46,0.0,-,20,45,24,CMA,2.3,4.5,II3m,4,
42,1,N,1976,,360,1179,,Peiresc,1610,11,24,,Rr,Cysat 1611,,5,35,17.1,-,5,23,25,ORI,1.344,4.0,EN+RN,2,Orion Nebula
43,1,N,1982,,,1185,,Mairan,1731,,,,Rr,,,5,35,31.3,-,5,16,3,ORI,1.6,6.8,EN,2,
44,1,N,2632,,517,1681,,Aratos,-260,,,,E,Hipparchus -130,,8,40,24.0,+,19,40,12,CNC,0.577,3.1,II2m,4,Praesepe
45,1,,,,,,,,,,,,E,,,3,47,0.0,+,24,7,0,TAU,0.425,1.6,II3r,4,Pleiades
46,2,N,2437,,463,1564,,Messier,1771,2,19,3.5,Rr,Herschel C. 4.3.1783,,7,41,46.8,-,14,48,36,PUP,5.4,6.1,III2m,4,
47,2,N,2422,VIII 38,459=3088,1551=1594,,Hodierna,1654,,,,Rr,Messier 19.2.1771,Herschel W. 15.2.1781,7,36,35.0,-,14,28,47,PUP,1.6,4.4,III2m,4,NGC 2478
48,2,N,2548,VI 22,496,1637,,Bradley,1727,2,16,2.5,Rr,Messier 19.2.1771,Bode <1782,8,13,43.1,-,5,45,2,HYA,1.5,5.8,I2m,4,
49,2,N,4472,I 7,1294,3021,,Messier,1771,2,19,3.5,Rr,Oriani 22.4.1779,Herschel W. 23.1.1784,12,29,46.7,+,8,0,0,VIR,55900,8.4,E2,1,
50,2,N,2323,,425,1483,,Cassini G.D.,1709,*,,5.0,Rr,Messier 5.4.1772,Bode 2.12.1774,7,2,47.8,-,8,22,33,MON,3.2,5.9,II3m,4,
51,2,N,5194,,1622,3572,,Messier,1773,10,13,3.5,Rr,Bode 5.1.1774,,13,29,52.6,+,47,11,44,CVN,23000,8.4,Sbc,1,Whirlpool Galaxy
52,2,N,7654,,2238,4957,,Messier,1774,9,7,3.5,Rr,,,23,24,48.0,+,61,36,0,CAS,5,6.9,I2r,4,
53,2,N,5024,,1558,3453,,Bode,1775,2,3,,Rr,Messier 26.2.1777,,13,12,55.3,+,18,10,11,COM,58,7.7,V,5,
54,2,N,6715,,3763,4442,D 624,Messier,1778,7,24,3.5,Rr,Dunlop 2.6.1826,,18,55,3.3,-,30,28,40,SGR,87.4,7.7,III,5,
55,2,N,6809,,3798,4503,D 620,Lacaille,1751,,,0.5,Rr,Dunlop 10.7.1826,,19,39,59.4,-,30,57,42,SGR,17.6,6.3,XI,5,
56,2,N,6779,,2036,4485,,Messier,1779,1,23,3.5,Rr,,,19,16,35.5,+,30,11,7,LYR,32.9,8.4,X,5,
57,2,N,6720,,2023,4447,,Messier,1779,1,31,3.5,Rr,Darquier Feb. 1779,,18,53,35.1,+,33,1,47,LYR,2.7,8.8,PN,3,Ring Nebula
58,2,N,4579,,1368,3121,,Messier,1779,4,15,3.5,Rr,,,12,37,43.7,+,11,49,6,VIR,63000,9.7,SBb,1,
59,2,N,4621,,1386,3155,,Koehler,1779,4,11,,Rr,Messier 15.4.1779,,12,42,2.2,+,11,38,50,VIR,60000,9.6,E5,1,
60,2,N,4649,,1408,3182,,Koehler,1779,4,11,,Rr,Oriani 12.4.1779,Messier 15.4.1779,12,43,39.8,+,11,33,11,VIR,55000,8.8,E2,1,
61,2,N,4303,I 139,1202,2878,,Oriani,1779,5,5,3.6,Rr,Messier 11.5.1779,Herschel W. 17.4.1786,12,21,54.9,+,4,28,22,VIR,52500,9.7,SBbc,1,
62,2,N,6266,,3661,4261,D 627,Messier,1771,6,7,3.5,Rr,Dunlop 13.5.1826,,17,1,12.6,-,30,6,42,OPH,22.2,6.4,IV,5,
63,2,N,5055,,1570,3474,,Méchain,1779,6,14,3.0,Rr,,,13,15,49.0,+,42,1,59,CVN,37000,8.6,Sbc,1,Sunflower Galaxy
64,2,N,4826,,1486,3321,,Pigott,1779,3,23,5.0,Rr,Bode 4.4.1779,Messier 1.3.1780,12,56,43.8,+,21,40,59,COM,24000,8.5,Sab,1,Black Eye Galaxy
65,2,N,3623,,854,2373,,Messier,1780,3,1,3.5,Rr,,,11,18,55.6,+,13,5,27,LEO,41500,9.3,Sa,1,
66,2,N,3627,,857=875,2377,,Messier,1780,3,1,3.5,Rr,,,11,20,15.1,+,12,59,24,LEO,36000,8.9,Sb,1,
67,2,N,2682,,531,1712,,Koehler,1779,,,,Rr,Messier 6.4.1780,,8,51,18.0,+,11,49,0,CNC,2.77,6.9,II2m,4,
68,2,N,4590,,3404,3128,,Messier,1780,4,9,3.5,Rr,,,12,39,28.0,-,26,44,32,HYA,33.6,7.3,X,5,
69,2a,N,6637,,3747,4411,D 613,Messier,1780,8,31,3.5,Rr,Dunlop 28.6.1826,,18,31,23.2,-,32,20,51,SGR,29.7,8.3,V,5,
70,2a,N,6681,,3756,4428,D 614,Messier,1780,8,31,3.5,Rr,Dunlop 2.6.1826,,18,43,12.7,-,32,17,29,SGR,29.4,7.8,V,5,
71,3,N,6838,,2056,4520,,de Chéseaux,1745,,,,Rr,Koehler 1779,Méchain 28.6.1780,19,53,46.1,+,18,46,44,SGE,13,8.4,XI,5,
72,3,N,6981,,2090,4608,,Méchain,1780,8,30,3.0,Rr,,,20,53,27.9,-,12,32,11,AQR,54.57,9.2,IX,5,
73,3,N,6994,,,4617,,Messier,1780,10,4,3.5,Rr,,,20,58,56.0,-,12,38,0,AQR,2.5,8.9,*4,9,
74,3,N,628,,142,372,,Méchain,1780,9,,3.0,Rr,,,1,36,41.7,+,15,47,0,PSC,30000,9.4,Sc,1,
75,3,N,6864,,2064,4543,,Méchain,1780,8,27,3.0,Rr,,,20,6,4.8,-,21,55,15,SGR,67.5,8.6,I,5,
76,3,N,650,I 193,,385=386,,Méchain,1780,9,5,3.0,Rr,Herschel W. 12.11.1787,,1,42,18.1,+,51,34,17,PER,2.5,10.1,PN,3,"Little Dumbbell, NGC 651"
77,3,N,1068,,262,600,,Méchain,1780,10,29,3.0,Rr,,,2,42,40.8,-,0,0,46,CET,47000,8.9,Sb/P,1,
78,3,N,2068,,368,1267,,Méchain,1780,3,,3.0,Rr,,,5,46,45.0,+,0,4,48,ORI,1.6,8.0,RN,2,
79,3,N,1904,,,1112,,Méchain,1780,10,26,3.0,Rr,Herschel W. 4.3.1783,,5,24,10.6,-,24,31,25,LEP,41,7.7,V,5,
80,3,N,6093,,3624,4173,,Messier,1781,1,4,3.5,Rr,,,16,17,2.5,-,22,58,28,SCO,32.6,7.3,II,5,
81,3,N,3031,,649,1949=1953,,Bode,1774,12,31,,Rr,Koehler 1779,Méchain Aug. 1780,9,55,33.5,+,69,4,2,UMA,11800,6.9,Sb,1,Bode's Nebulae
82,3,N,3034,IV 79,,1950,,Bode,1774,12,31,,Rr,Koehler 1779,Méchain Aug. 1780,9,55,54.0,+,69,40,59,UMA,11500,8.4,Sd,1,"Bode's Nebulae, HON 4"
83,3,N,5236,,3523,3606,D 628,Lacaille,1751,,,0.5,Rr,Dunlop 29.4.1826,,13,37,0.2,-,29,52,2,HYA,14700,7.5,Sc,1,
84,3,N,4374,,1237,2930,,Koehler,1779,5,5,,Rr,Messier 18.3.1781,,12,25,3.6,+,12,53,13,VIR,60000,9.1,E1,1,
85,3,N,4382,,1242,2946,,Méchain,1781,3,4,3.0,Rr,,,12,25,23.9,+,18,11,27,COM,60000,9.1,S0-a,1,
86,3,N,4406,,1253,2961,,Koehler,1779,5,5,,Rr,Messier 18.3.1781,,12,26,11.5,+,12,56,47,VIR,52000,8.9,E3,1,
87,3,N,4486,,1301,3035,,Koehler,1779,5,5,,Rr,Messier 18.3.1781,,12,30,49.4,+,12,23,26,VIR,53500,8.6,E/P,1,Virgo A
88,3,N,4501,,1312,3049,,Messier,1781,3,18,3.5,Rr,,,12,31,59.0,+,14,25,11,COM,47500,9.6,Sb,1,
89,3,N,4552,,1348,3097,,Messier,1781,3,18,3.5,Rr,,,12,35,39.9,+,12,33,22,VIR,50000,9.8,E,1,
90,3,N,4569,,,3111,,Messier,1781,3,18,3.5,Rr,,,12,36,50.0,+,13,9,50,VIR,58700,9.5,SBab,1,
91,3,N,4548,II 120,1345,3093,,Messier,1781,3,18,3.5,Rr,Herschel W. 8.4.1784,,12,35,26.4,+,14,29,47,COM,63000,10.2,SBb,1,
92,3,N,6341,,,4294,,Bode,1777,12,27,,Rr,Messier 18.3.1781,,17,17,7.3,+,43,8,13,HER,26.7,6.5,IV,5,LL 31544
93,3,N,2447,,3098,1571,,Messier,1781,3,20,3.5,Rr,Herschel C. 26.2.1783,,7,44,30.0,-,23,51,24,PUP,3.6,6.2,IV1p,4,
94,3,N,4736,,1456,3258,,Méchain,1781,3,22,3.0,Rr,,,12,50,53.1,+,41,7,17,CVN,16000,8.2,Sab,1,
95,3,N,3351,I 26,740,2179,,Méchain,1781,3,20,3.0,Rr,Herschel W. 19.3.1784,,10,43,57.8,+,11,42,12,LEO,32600,9.7,SBb,1,
96,3,N,3368,,749,2194,,Méchain,1781,3,20,3.0,Rr,,,10,46,45.8,+,11,49,12,LEO,31000,9.3,SBab,1,
97,3,N,3587,,838,2343,,Méchain,1781,2,16,3.0,Rr,,,11,14,47.7,+,55,1,10,UMA,2.03,9.9,PN,3,Owl Nebula
98,3,N,4192,,1132,2786,,Méchain,1781,3,15,3.0,Rr,,,12,13,47.8,+,14,53,58,COM,44400,10.1,SBb,1,
99,3,N,4254,,1173,2838,,Méchain,1781,3,15,3.0,Rr,,,12,18,49.3,+,14,25,3,COM,50200,9.9,Sc,1,
100,3,N,4321,,1211,2890,,Méchain,1781,3,15,3.0,Rr,,,12,22,54.9,+,15,49,22,COM,55000,9.4,SBbc,1,
101,3,N,5457,,1744,3770,,Méchain,1781,3,27,3.0,Rr,,,14,3,12.4,+,54,20,58,UMA,20750,7.9,Sc,1,Pinwheel Galaxy
102,3,N,5866,I 215,1909,4058,,Méchain,1781,3,27,3.0,Rr,Herschel W. 5.5.1788,,15,6,29.4,+,55,45,49,DRA,50000,9.9,S0-a,1,
103,3,N,581,,126,341,Σ 131,Méchain,1781,4,,3.0,Rr,Struve W. 1825,,1,33,23.0,+,60,39,30,CAS,10,7.4,III2p,4,
104,x,N,4594,I 43,1376,3132,,Méchain,1781,5,11,3.0,Rr,Herschel W. 9.5.1784,,12,39,59.3,-,11,37,21,VIR,29800,8.0,Sa,1,Sombrero Galaxy
105,x,N,3379,I 17,757,2203,,Méchain,1781,3,24,3.0,Rr,Herschel W. 11.3.1784,,10,47,49.5,+,12,34,52,LEO,32000,9.3,E1,1,
106,x,N,4258,V 43,1175,2841,,Méchain,1781,7,,3.0,Rr,Herschel W. 9.3.1788,,12,18,57.8,+,47,18,25,CVN,23700,8.4,SBbc,1,
107,x,N,6171,VI 40,3637,4211,,Méchain,1782,4,,3.0,Rr,Herschel W. 12.5.1793,,16,32,31.9,-,13,3,11,OPH,20.9,7.8,X,5,
108,x,N,3556,V 46,831,2318,,Méchain,1781,2,16,3.0,Rr,Herschel W. 17.4.1789,,11,11,29.4,+,55,40,22,UMA,46000,10.0,Sc,1,
109,x,N,3992,IV 61,1030,2635,,Méchain,1781,3,12,3.0,Rr,Herschel W. 12.4.1789,,11,57,35.4,+,53,22,25,UMA,83500,9.8,SBbc,1,
110,x,N,205,V 18,44,105,,Messier,1773,8,10,3.5,Rr,Herschel C. 27.8.1783,,0,40,22.1,+,41,41,7,AND,2690,8.1,E5,1,